M,P,NA,orientation
-10014.770370370377,1102.2666666666667,10.616161616161616,180
-10014.770370370377,1102.2666666666667,10.978787878787879,180
-10014.770370370377,1102.2666666666667,11.341414141414141,180
-10256.548148148155,1192.9333333333332,11.704040404040404,180
-10256.548148148155,1192.9333333333332,12.066666666666666,180
-10256.548148148155,1192.9333333333332,12.429292929292929,180
-10417.733333333337,1283.5999999999983,12.791919191919192,180
-10417.733333333337,1283.5999999999983,13.154545454545454,180
-10390.212379813684,1286.221043192346,13.517171717171717,180
-10342.540465274244,1290.7612255294357,13.87979797979798,180
-10377.888691883376,1385.7368794326208,14.242424242424242,180
-10334.891054911335,1389.8318924775767,14.605050505050505,180
-10293.976850477151,1393.7284833760707,14.967676767676767,180
-10254.998232705924,1488.1073993542805,15.33030303030303,180
-10217.821021188545,1491.6480861654597,15.692929292929293,180
-10182.323157759838,1495.0288350634319,16.055555555555557,180
-10067.800775193802,1588.9269102989958,16.41818181818182,180
-10035.337402435847,1592.0186600854674,16.780808080808082,180
-10004.247391782548,1594.9796134810201,17.143434343434343,180
-9813.26021323384,1688.484565229925,17.506060606060608,180
-9784.667820279303,1691.2076502732143,17.868686868686872,180
-9757.212849793676,1693.8224093670833,18.231313131313133,180
-9489.05097662853,1787.0018470230218,18.593939393939394,180
-9463.676300993282,1789.4184827978072,18.956565656565658,180
-9439.254203895425,1791.7443968071273,19.319191919191923,180
-9093.36166281756,1884.6512702078392,19.681818181818183,180
-9070.690576496683,1886.8104212860178,20.044444444444444,180
-9048.825204177607,1888.8928376973588,20.40707070707071,180
-8624.760381069726,1981.5692053302064,20.769696969696973,180
-8604.3827279696,1983.5099341968853,21.132323232323234,180
-8584.692629142306,1985.3851817042464,21.494949494949495,180
-8082.100308599189,2077.864873607822,21.85757575757576,180
-8063.6848908823395,2079.6187229141888,22.220202020202024,180
-7347.431481481484,2147.8333333333176,22.582828282828284,180
-6783.28333333334,2238.4999999999823,22.945454545454545,180
-6783.28333333334,2238.4999999999823,23.30808080808081,180
-6783.28333333334,2238.4999999999823,23.670707070707074,180
-6138.542592592595,2329.166666666647,24.033333333333335,180
-6138.542592592595,2329.166666666647,24.395959595959596,180
-6138.542592592595,2329.166666666647,24.75858585858586,180
-5413.209259259261,2419.833333333312,25.121212121212125,180
-5413.209259259261,2419.833333333312,25.483838383838386,180
-5413.209259259261,2419.833333333312,25.846464646464646,180
-4607.283333333332,2510.499999999977,26.20909090909091,180
-4607.283333333332,2510.499999999977,26.571717171717175,180
-4607.283333333332,2510.499999999977,26.934343434343436,180
-3720.764814814812,2601.1666666666424,27.296969696969697,180
-3720.764814814812,2601.1666666666424,27.65959595959596,180
-3720.764814814812,2601.1666666666424,28.022222222222226,180
-2753.6537037037015,2691.833333333307,28.384848484848487,180
-2753.6537037037015,2691.833333333307,28.747474747474747,180
-2753.6537037037015,2691.833333333307,29.110101010101012,180
-1705.9499999999994,2782.4999999999727,29.472727272727276,180
-1705.9499999999994,2782.4999999999727,29.835353535353537,180
-1705.9499999999994,2782.4999999999727,30.197979797979798,180
-1705.9499999999994,2782.4999999999727,30.560606060606062,180
-1705.9499999999994,2782.4999999999727,30.923232323232327,180
-1705.9499999999994,2782.4999999999727,31.285858585858588,180
-1705.9499999999994,2782.4999999999727,31.64848484848485,180
-1705.9499999999994,2782.4999999999727,32.01111111111111,180
-1705.9499999999994,2782.4999999999727,32.37373737373738,180
-1705.9499999999994,2782.4999999999727,32.73636363636364,180
-1705.9499999999994,2782.4999999999727,33.0989898989899,180
-1705.9499999999994,2782.4999999999727,33.46161616161616,180
-1705.9499999999994,2782.4999999999727,33.82424242424243,180
-1705.9499999999994,2782.4999999999727,34.186868686868685,180
-1705.9499999999994,2782.4999999999727,34.54949494949495,180
-1705.9499999999994,2782.4999999999727,34.912121212121214,180
-1705.9499999999994,2782.4999999999727,35.27474747474748,180
-1705.9499999999994,2782.4999999999727,35.63737373737374,180
-1705.9499999999994,2782.4999999999727,36.0,180
