M,P,NA,phi,orientation
-8156.6622934917,897.7556773516193,10.616161616161616,0.8144632369828407,180
-8051.5019220751265,886.1812959349749,10.978787878787879,0.8039627095091704,180
-7953.066269813977,875.3470646659215,11.341414141414141,0.7941336621500437,180
-8050.504966485434,936.3496944554389,11.704040404040404,0.7849136815039447,180
-7961.623517495402,926.0119432272813,12.066666666666666,0.7762478567346162,180
-7877.92832452933,916.2774025136963,12.429292929292929,0.768087685129398,180
-7921.541955856409,976.036814265797,12.791919191919192,0.7603901638094409,180
-7845.77240473751,966.7010218525832,13.154545454545454,0.7531170316707576,180
-6753.638046878895,836.043678075025,13.517171717171717,0.65,180
-6722.6513024282585,838.9947965941333,13.87979797979798,0.65,180
-6745.627649724194,900.7289716312035,14.242424242424242,0.65,180
-6717.679185692368,903.3907301104249,14.605050505050505,0.65,180
-6691.084952810148,905.9235141944459,14.967676767676767,0.65,180
-6665.748851258851,967.2698095802823,15.33030303030303,0.65,180
-6641.583663772554,969.5712560075489,15.692929292929293,0.65,180
-6618.510052543895,971.7687427912307,16.055555555555557,0.65,180
-6544.070503875972,1032.8024916943473,16.41818181818182,0.65,180
-6522.969311583301,1034.812129055554,16.780808080808082,0.65,180
-6502.7608046586565,1036.7367487626632,17.143434343434343,0.65,180
-6378.619138601996,1097.5149673994513,17.506060606060608,0.65,180
-6360.034083181547,1099.2849726775894,17.868686868686872,0.65,180
-6342.188352365889,1100.9845660886042,18.231313131313133,0.65,180
-6167.883134808545,1161.5512005649641,18.593939393939394,0.65,180
-6151.389595645634,1163.1220138185747,18.956565656565658,0.65,180
-6135.515232532027,1164.6338579246328,19.319191919191923,0.65,180
-5910.685080831415,1225.0233256350955,19.681818181818183,0.65,180
-5895.948874722844,1226.4267738359117,20.044444444444444,0.65,180
-5881.736382715445,1227.7803445032832,20.40707070707071,0.65,180
-5606.094247695321,1288.0199834646342,20.769696969696973,0.65,180
-5592.84877318024,1289.2814572279756,21.132323232323234,0.65,180
-5580.050208942499,1290.50036810776,21.494949494949495,0.65,180
-5253.365200589473,1350.6121678450845,21.85757575757576,0.65,180
-5241.395179073521,1351.7521698942228,22.220202020202024,0.65,180
-4775.830462962965,1396.0916666666565,22.582828282828284,0.65,180
0,1396.0916666666565,22.582828282828284,0.65,180
